fdc_id,nombre,calories,carbs,fat,fiber,protein,sugar
167729,"Babyfood, Juice, Apple - Cherry",47.0,11.2,0.1,0.3,0.2,10.5
167730,"Milk, Imitation, Non-Soy",46.0,5.3,2.0,0.0,1.6,5.3
167731,"Babyfood, Cereal, Rice With Pears And Apple, Dry, Instant Fortified",389.0,88.5,0.9,2.6,6.6,1.35
167732,"Babyfood, Banana No Tapioca, Strained",91.0,21.34,0.2,1.6,1.0,11.36
167733,"Babyfood, Banana Apple Dessert, Strained",68.0,16.3,0.2,1.0,0.3,14.66
167734,"Breakfast Bar, Corn Flake Crust With Fruit",376.0,72.8,7.5,2.1,4.4,35.1
167735,"Cheese, Mozzarella, Low Sodium",280.0,3.1,17.1,0.0,27.5,1.23
167736,"Mayonnaise Dressing, No Cholesterol",688.0,0.3,77.8,0.0,0.0,0.3
167737,"Oil, Corn, Peanut, And Olive",884.0,0.0,100.0,0.0,0.0,0.0
167738,"Pie Fillings, Blueberry, Canned",181.0,44.38,0.2,2.6,0.41,37.75
167739,"Beverages, Cocktail Mix, Non-Alcoholic, Concentrated, Frozen",287.0,71.6,0.01,0.0,0.08,24.53
167740,"Puddings, Chocolate Flavor, Low Calorie, Regular, Dry Mix",365.0,74.42,3.0,10.1,10.08,0.7
167741,"Puddings, All Flavors Except Chocolate, Low Calorie, Regular, Dry Mix",351.0,86.04,0.1,0.9,1.6,2.9
167742,"Mollusks, Scallop, (Bay And Sea), Cooked, Steamed",111.0,5.41,0.84,0.0,20.54,0.0
167743,"Syrup, Cane",269.0,73.14,0.0,0.0,0.0,73.2
167744,"Mollusks, Snail, Raw",90.0,2.0,1.4,0.0,16.1,0.0
167745,"Turtle, Green, Raw",89.0,0.0,0.5,0.0,19.8,0.0
167746,"Lemons, Raw, Without Peel",29.0,9.32,0.3,2.8,1.1,2.5
167747,"Lemon Juice, Raw",22.0,6.9,0.24,0.3,0.35,2.52
167748,"Lemon Juice From Concentrate, Canned Or Bottled",17.0,5.62,0.07,0.7,0.45,1.53
167749,"Lemon Peel, Raw",47.0,16.0,0.3,10.6,1.5,4.17
167750,"Prickly Pears, Raw",41.0,9.57,0.51,3.6,0.73,0.0
167751,"Plums, Dried (Prunes), Stewed, Without Added Sugar",107.0,28.08,0.16,3.1,0.96,24.98
167752,"Plums, Dried (Prunes), Stewed, With Added Sugar",124.0,32.88,0.22,3.8,1.09,0.0
167753,"Prune Juice, Canned",71.0,17.45,0.03,1.0,0.61,16.45
167754,"Pummelo, Raw",38.0,9.62,0.04,1.0,0.76,0.0
167755,"Raspberries, Raw",52.0,11.94,0.65,6.5,1.2,4.42
167756,"Raspberries, Canned, Red, Heavy Syrup Pack, Solids And Liquids",91.0,23.36,0.12,3.3,0.83,20.06
167757,"Raspberries, Frozen, Red, Sweetened",103.0,26.16,0.16,4.4,0.7,21.76
167758,"Rhubarb, Raw",21.0,4.54,0.2,1.8,0.9,1.1
167759,"Sapodilla, Raw",83.0,19.96,1.1,5.3,0.44,0.0
167760,"Sapote, Mamey, Raw",124.0,32.1,0.46,5.4,1.45,20.14
167761,"Soursop, Raw",66.0,16.84,0.3,3.3,1.0,13.54
167762,"Strawberries, Raw",32.0,7.68,0.3,2.0,0.67,4.89
167763,"Tamarinds, Raw",239.0,62.5,0.6,5.1,2.8,38.8
167764,"Fruit Salad, (Pineapple And Papaya And Banana And Guava), Tropical, Canned, Heavy Syrup, Solids And Liquids",86.0,22.36,0.1,1.3,0.41,0.0
167765,"Watermelon, Raw",30.0,7.55,0.15,0.4,0.61,6.2
167766,"Maraschino Cherries, Canned, Drained",165.0,41.97,0.21,3.2,0.22,38.77
167767,"Pineapple, Canned, Juice Pack, Drained",60.0,15.56,0.11,1.3,0.51,14.26
